,,,,final_accuracy,final_accuracy,accuracy_change,accuracy_change,parameter_reduction_pct,parameter_reduction_pct,mac_reduction_pct,mac_reduction_pct,speedup,speedup
,,,,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,architecture,method,target_prune_rate,,,,,,,,,,
SVHN,ResNet20,E-HRAP,0.2,95.855,,0.661,,17.589,,16.439,,0.958,
SVHN,ResNet20,E-HRAP,0.3,95.943,,0.749,,26.966,,25.11,,0.954,
SVHN,ResNet20,E-HRAP,0.4,95.698,,0.503,,36.344,,34.323,,0.985,
SVHN,ResNet20,E-HRAP,0.5,95.778,,0.584,,45.88,,43.807,,0.959,
SVHN,ResNet20,Uniform-Magnitude,0.1,95.801,,0.607,,9.059,,8.129,,0.914,
SVHN,ResNet20,Uniform-Magnitude,0.2,95.859,,0.665,,18.438,,18.426,,0.93,
SVHN,ResNet20,Uniform-Magnitude,0.3,96.009,,0.814,,28.662,,27.052,,0.917,
SVHN,ResNet20,Uniform-Magnitude,0.4,95.821,,0.626,,38.04,,37.349,,0.971,
SVHN,ResNet20,Uniform-Magnitude,0.5,95.874,,0.68,,49.167,,49.136,,0.994,
SVHN,SimpleCNN,Adaptive-Correlation,0.1,94.979,,0.949,,8.184,,13.92,,1.037,
SVHN,SimpleCNN,Adaptive-Correlation,0.2,94.983,,0.953,,16.931,,27.137,,1.04,
SVHN,SimpleCNN,Adaptive-Correlation,0.3,94.945,,0.914,,24.059,,39.246,,1.037,
SVHN,SimpleCNN,Adaptive-Correlation,0.4,94.887,,0.857,,34.655,,51.064,,0.628,
SVHN,SimpleCNN,Adaptive-Correlation,0.5,94.718,,0.688,,41.05,,60.781,,1.095,
SVHN,SimpleCNN,Adaptive-Magnitude,0.1,95.11,,1.079,,8.184,,13.92,,1.035,
SVHN,SimpleCNN,Adaptive-Magnitude,0.2,94.91,,0.88,,16.931,,27.137,,0.991,
SVHN,SimpleCNN,Adaptive-Magnitude,0.3,95.045,,1.014,,24.847,,39.52,,1.061,
SVHN,SimpleCNN,Adaptive-Magnitude,0.4,94.925,,0.895,,31.329,,50.421,,1.078,
SVHN,SimpleCNN,Adaptive-Magnitude,0.5,94.833,,0.803,,41.247,,61.715,,1.375,
SVHN,SimpleCNN,E-HRAP,0.1,95.198,,1.168,,8.184,,13.92,,1.302,
SVHN,SimpleCNN,E-HRAP,0.2,95.075,,1.045,,17.202,,26.693,,1.007,
SVHN,SimpleCNN,E-HRAP,0.3,95.148,,1.118,,24.244,,40.369,,1.139,
SVHN,SimpleCNN,E-HRAP,0.4,94.852,,0.822,,30.605,,50.146,,1.073,
SVHN,SimpleCNN,E-HRAP,0.5,94.895,,0.864,,42.095,,60.674,,1.112,
SVHN,SimpleCNN,Uniform-Magnitude,0.1,95.16,,1.129,,10.993,,17.26,,0.882,
SVHN,SimpleCNN,Uniform-Magnitude,0.2,95.079,,1.049,,22.178,,33.627,,1.086,
SVHN,SimpleCNN,Uniform-Magnitude,0.3,94.795,,0.764,,32.73,,48.616,,1.14,
SVHN,SimpleCNN,Uniform-Magnitude,0.4,94.822,,0.791,,43.31,,61.331,,1.143,
SVHN,SimpleCNN,Uniform-Magnitude,0.5,94.687,,0.657,,53.611,,72.668,,1.11,
SVHN,VGG11BN,Adaptive-Correlation,0.1,95.894,,0.768,,17.729,,16.92,,0.871,
SVHN,VGG11BN,Adaptive-Correlation,0.2,95.705,,0.58,,34.231,,32.826,,0.871,
SVHN,VGG11BN,Adaptive-Correlation,0.3,95.786,,0.661,,48.939,,46.857,,0.932,
SVHN,VGG11BN,Adaptive-Correlation,0.4,95.667,,0.542,,61.651,,59.341,,0.84,
SVHN,VGG11BN,Adaptive-Correlation,0.5,95.517,,0.392,,72.336,,70.149,,1.012,
SVHN,VGG11BN,Adaptive-Magnitude,0.1,95.859,,0.734,,17.91,,17.11,,0.894,
SVHN,VGG11BN,Adaptive-Magnitude,0.2,95.951,,0.826,,33.967,,32.589,,0.911,
SVHN,VGG11BN,Adaptive-Magnitude,0.3,95.867,,0.741,,48.325,,46.379,,0.881,
SVHN,VGG11BN,Adaptive-Magnitude,0.4,95.744,,0.618,,61.703,,59.503,,0.9,
SVHN,VGG11BN,Adaptive-Magnitude,0.5,95.782,,0.657,,72.585,,70.172,,1.166,
SVHN,VGG11BN,E-HRAP,0.1,95.759,,0.634,,17.955,,17.055,,0.875,
SVHN,VGG11BN,E-HRAP,0.2,95.84,,0.715,,34.134,,32.672,,0.859,
SVHN,VGG11BN,E-HRAP,0.3,95.84,,0.715,,48.663,,46.869,,0.907,
SVHN,VGG11BN,E-HRAP,0.4,95.759,,0.634,,61.457,,59.17,,0.901,
SVHN,VGG11BN,E-HRAP,0.5,95.755,,0.63,,72.365,,69.977,,0.934,
SVHN,VGG11BN,Uniform-Magnitude,0.1,95.79,,0.665,,18.842,,18.492,,0.874,
SVHN,VGG11BN,Uniform-Magnitude,0.2,95.932,,0.807,,35.833,,35.482,,0.869,
SVHN,VGG11BN,Uniform-Magnitude,0.3,95.763,,0.638,,50.762,,50.438,,0.925,
SVHN,VGG11BN,Uniform-Magnitude,0.4,95.97,,0.845,,63.776,,63.467,,0.984,
SVHN,VGG11BN,Uniform-Magnitude,0.5,95.767,,0.642,,74.966,,74.71,,0.985,
