,,,,final_accuracy,final_accuracy,accuracy_change,accuracy_change,parameter_reduction_pct,parameter_reduction_pct,mac_reduction_pct,mac_reduction_pct,speedup,speedup
,,,,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,architecture,method,target_prune_rate,,,,,,,,,,
CIFAR10,VGG11BN,Uniform-Magnitude,0.3,88.16,,4.3,,50.762,,50.438,,1.138,
CIFAR10,VGG11BN,Uniform-Magnitude,0.4,87.54,,3.68,,63.776,,63.467,,1.052,
CIFAR10,VGG11BN,Uniform-Magnitude,0.5,87.57,,3.71,,74.966,,74.71,,1.041,
CIFAR100,ResNet20,Adaptive-Correlation,0.1,53.88,,6.2,,8.713,,7.857,,1.04,
CIFAR100,ResNet20,Adaptive-Correlation,0.2,53.65,,5.97,,17.686,,16.708,,1.078,
CIFAR100,ResNet20,Adaptive-Correlation,0.3,52.76,,5.08,,27.073,,25.739,,1.035,
CIFAR100,ResNet20,Adaptive-Correlation,0.4,51.71,,4.03,,36.046,,34.589,,1.144,
CIFAR100,ResNet20,Adaptive-Correlation,0.5,51.25,,3.57,,45.434,,43.62,,1.085,
CIFAR100,ResNet20,Adaptive-Magnitude,0.1,54.59,,6.91,,8.713,,7.857,,1.052,
CIFAR100,ResNet20,Adaptive-Magnitude,0.2,54.59,,6.91,,17.686,,16.708,,1.091,
CIFAR100,ResNet20,Adaptive-Magnitude,0.3,52.8,,5.12,,27.073,,25.739,,1.057,
CIFAR100,ResNet20,Adaptive-Magnitude,0.4,52.86,,5.18,,36.046,,34.589,,1.154,
CIFAR100,ResNet20,Adaptive-Magnitude,0.5,51.07,,3.39,,45.434,,43.62,,1.105,
CIFAR100,ResNet20,E-HRAP,0.1,54.9,,7.22,,8.713,,7.857,,1.041,
CIFAR100,ResNet20,E-HRAP,0.2,53.68,,6.0,,17.686,,16.708,,1.085,
CIFAR100,ResNet20,E-HRAP,0.3,53.11,,5.43,,27.073,,25.739,,1.051,
CIFAR100,ResNet20,E-HRAP,0.4,51.51,,3.83,,36.046,,34.589,,0.919,
CIFAR100,ResNet20,E-HRAP,0.5,50.78,,3.1,,45.434,,43.62,,1.082,
CIFAR100,ResNet20,Uniform-Magnitude,0.1,54.36,,6.68,,8.869,,8.128,,1.049,
CIFAR100,ResNet20,Uniform-Magnitude,0.2,53.94,,6.26,,18.05,,18.423,,1.09,
CIFAR100,ResNet20,Uniform-Magnitude,0.3,52.55,,4.87,,28.059,,27.048,,1.045,
CIFAR100,ResNet20,Uniform-Magnitude,0.4,52.12,,4.44,,37.241,,37.344,,1.111,
CIFAR100,ResNet20,Uniform-Magnitude,0.5,50.83,,3.15,,48.134,,49.129,,1.172,
CIFAR100,SimpleCNN,Adaptive-Correlation,0.1,56.78,,5.74,,9.783,,13.385,,0.907,
CIFAR100,SimpleCNN,Adaptive-Correlation,0.2,56.55,,5.51,,19.867,,27.26,,0.916,
CIFAR100,SimpleCNN,Adaptive-Correlation,0.3,56.61,,5.57,,29.806,,40.507,,0.617,
CIFAR100,SimpleCNN,Adaptive-Correlation,0.4,55.74,,4.7,,39.064,,51.814,,1.008,
