method,target_prune_rate,base_accuracy,pruned_accuracy,parameter_reduction_pct,mac_reduction_pct,params_before,params_after,macs_before,macs_after,pruning_time_sec,layer_names,layer_sensitivities,layer_pruning_rates,retained_channels,status,seed,dataset,architecture,baseline_training_accuracy,final_accuracy,accuracy_change,recovery_efficiency_eta,baseline_latency_ms,pruned_latency_ms,speedup,error
Adaptive-Correlation,0.1,82.86,71.94,8.899931736606062,7.858166615964096,272474,248224,40813184,37606016,5.407942295074463,"[""block1.conv1"", ""block2.conv1"", ""block3.conv1"", ""block4.conv1"", ""block5.conv1"", ""block6.conv1"", ""block7.conv1"", ""block8.conv1"", ""block9.conv1""]","[0.08535355081160863, 0.03451255025962988, 0.021684934695561726, 0.022844261179367702, 0.016141048011680443, 0.01215018176784118, 0.012752383947372437, 0.01770300790667534, 0.0027074044725547233]","{""block1.conv1"": 0.07354542189427224, ""block2.conv1"": 0.08930314031707445, ""block3.conv1"": 0.09327894629846704, ""block4.conv1"": 0.09291962330927381, ""block5.conv1"": 0.09499722493940783, ""block6.conv1"": 0.09623415863171768, ""block7.conv1"": 0.09604751139276435, ""block8.conv1"": 0.09451310928578541, ""block9.conv1"": 0.09916086393123724}","[15, 15, 15, 30, 29, 29, 58, 58, 58]",ok,42,CIFAR10,ResNet20,82.86,86.5,3.6400000000000006,163.59676041237114,3.1341024998710054,2.305857000010292,1.3591920487077112,
Adaptive-Correlation,0.2,82.86,40.47,17.9591447257353,15.987304494547644,272474,223540,40813184,34288256,5.28306245803833,"[""block1.conv1"", ""block2.conv1"", ""block3.conv1"", ""block4.conv1"", ""block5.conv1"", ""block6.conv1"", ""block7.conv1"", ""block8.conv1"", ""block9.conv1""]","[0.0743182102839152, 0.04185719912250837, 0.021892401079336803, 0.02441632996002833, 0.017498070374131203, 0.012401517170170942, 0.016126434939603012, 0.0181452464312315, 0.0024314516922459006]","{""block1.conv1"": 0.1545825134103469, ""block2.conv1"": 0.17442014854011617, ""block3.conv1"": 0.18662107404581454, ""block4.conv1"": 0.1850786458084535, ""block5.conv1"": 0.18930654581796474, ""block6.conv1"": 0.1924211611445453, ""block7.conv1"": 0.190144782284042, ""block8.conv1"": 0.18891104235007702, ""block9.conv1"": 0.1985140865986399}","[14, 14, 14, 27, 26, 26, 52, 52, 52]",ok,42,CIFAR10,ResNet20,82.86,86.33,3.469999999999999,255.3573719704091,3.1341024998710054,2.739370999734092,1.1440956702013818,
Adaptive-Correlation,0.3,82.86,35.25,27.654748709968658,25.742269948847902,272474,197122,40813184,30306944,5.334322452545166,"[""block1.conv1"", ""block2.conv1"", ""block3.conv1"", ""block4.conv1"", ""block5.conv1"", ""block6.conv1"", ""block7.conv1"", ""block8.conv1"", ""block9.conv1""]","[0.08488791560133298, 0.034460633993148804, 0.02454068884253502, 0.02242761788268884, 0.019764851157863934, 0.012387976360817751, 0.015864259252945583, 0.018732833055158455, 0.0023772104177623987]","{""block1.conv1"": 0.22428576097264222, ""block2.conv1"": 0.2692634615809722, ""block3.conv1"": 0.2781113770109991, ""block4.conv1"": 0.2799960923865884, ""block5.conv1"": 0.2823710989449344, ""block6.conv1"": 0.2889507688272948, ""block7.conv1"": 0.28585016125604296, ""block8.conv1"": 0.28329158880212174, ""block9.conv1"": 0.29787969021840416}","[13, 12, 12, 24, 23, 23, 46, 46, 45]",ok,42,CIFAR10,ResNet20,82.86,85.95,3.0900000000000034,183.33198587960507,3.1341024998710054,2.7560529997572303,1.1371706205022458,
Adaptive-Correlation,0.4,82.86,17.61,36.713961699097894,33.87140782743145,272474,172438,40813184,26989184,5.436292886734009,"[""block1.conv1"", ""block2.conv1"", ""block3.conv1"", ""block4.conv1"", ""block5.conv1"", ""block6.conv1"", ""block7.conv1"", ""block8.conv1"", ""block9.conv1""]","[0.08582206070423126, 0.028857673828800518, 0.02474282185236613, 0.020789968470732372, 0.015738498109082382, 0.012064089377721151, 0.015668150037527084, 0.018128521119554836, 0.0023889276199042797]","{""block1.conv1"": 0.29281846218439717, ""block2.conv1"": 0.36396020051987144, ""block3.conv1"": 0.3690991608186431, ""block4.conv1"": 0.3740358041563417, ""block5.conv1"": 0.3803444893259684, ""block6.conv1"": 0.38493338844070335, ""block7.conv1"": 0.38043234569331486, ""block8.conv1"": 0.3773596350871505, ""block9.conv1"": 0.3970165137736097}","[12, 11, 11, 21, 20, 20, 40, 40, 39]",ok,42,CIFAR10,ResNet20,82.86,85.21,2.3499999999999943,184.12613859010756,3.1341024998710054,2.5054089996956463,1.2509344782635219,
Adaptive-Correlation,0.5,82.86,14.22,46.092471208262076,44.16831580697061,272474,146884,40813184,22786688,5.433040142059326,"[""block1.conv1"", ""block2.conv1"", ""block3.conv1"", ""block4.conv1"", ""block5.conv1"", ""block6.conv1"", ""block7.conv1"", ""block8.conv1"", ""block9.conv1""]","[0.0750248742600282, 0.030872920528054237, 0.021989763403932255, 0.022631370772918064, 0.01841045233110587, 0.01240848625699679, 0.017299669484297436, 0.014935363704959551, 0.002603465768819054]","{""block1.conv1"": 0.37853109747933444, ""block2.conv1"": 0.45001524746108834, ""block3.conv1"": 0.46439750877679453, ""block4.conv1"": 0.4633587153935526, ""block5.conv1"": 0.4701925866370973, ""block6.conv1"": 0.47991006019741916, ""block7.conv1"": 0.47199099782633785, ""block8.conv1"": 0.47581892331201175, ""block9.conv1"": 0.49578486291636403}","[10, 9, 9, 18, 17, 17, 34, 34, 33]",ok,42,CIFAR10,ResNet20,82.86,84.57,1.7099999999999937,152.62796321363163,3.1341024998710054,2.653595500305528,1.1810777111696764,
E-HRAP,0.1,82.86,76.14,9.059212989129238,8.129137878583547,272474,247790,40813184,37495424,5.403653383255005,"[""block1.conv1"", ""block2.conv1"", ""block3.conv1"", ""block4.conv1"", ""block5.conv1"", ""block6.conv1"", ""block7.conv1"", ""block8.conv1"", ""block9.conv1""]","[0.09547487149635951, 0.03326593587795893, 0.02120079721013705, 0.020420488590995472, 0.017226556936899822, 0.013685738978286585, 0.014747467512885729, 0.012840331842501959, 0.002471403762077292]","{""block1.conv1"": 0.07110994153095987, ""block2.conv1"": 0.08993394997574605, ""block3.conv1"": 0.09358478035747368, ""block4.conv1"": 0.09382089653419727, ""block5.conv1"": 0.09478735892149108, ""block6.conv1"": 0.09585878678779058, ""block7.conv1"": 0.09553751482416205, ""block8.conv1"": 0.09611460134087843, ""block9.conv1"": 0.09925216972730107}","[15, 15, 15, 29, 29, 29, 58, 58, 58]",ok,42,CIFAR10,ResNet20,82.86,86.03,3.1700000000000017,109.17063117809107,3.1341024998710054,2.7154450003763486,1.154176387088169,
E-HRAP,0.2,82.86,57.77,17.9591447257353,15.987304494547644,272474,223540,40813184,34288256,5.4384026527404785,"[""block1.conv1"", ""block2.conv1"", ""block3.conv1"", ""block4.conv1"", ""block5.conv1"", ""block6.conv1"", ""block7.conv1"", ""block8.conv1"", ""block9.conv1""]","[0.08220873773097992, 0.0330132662008206, 0.02037353254854679, 0.019667572962741058, 0.014647460542619228, 0.010325498568514982, 0.015953009327252705, 0.018467623740434647, 0.002600576728582382]","{""block1.conv1"": 0.14702491272228022, ""block2.conv1"": 0.17872634093915774, ""block3.conv1"": 0.18687135096944804, ""block4.conv1"": 0.18732626940883565, ""block5.conv1"": 0.19056121621546565, ""block6.conv1"": 0.19334627677117444, ""block7.conv1"": 0.189719924125109, ""block8.conv1"": 0.18809951342808495, ""block9.conv1"": 0.19832419542044444}","[14, 14, 14, 27, 26, 26, 52, 52, 52]",ok,42,CIFAR10,ResNet20,82.86,86.34,3.480000000000004,159.0832995463277,3.1341024998710054,2.6064710000355262,1.2024313717007737,
E-HRAP,0.3,82.86,37.23,27.654748709968658,25.742269948847902,272474,197122,40813184,30306944,5.623482942581177,"[""block1.conv1"", ""block2.conv1"", ""block3.conv1"", ""block4.conv1"", ""block5.conv1"", ""block6.conv1"", ""block7.conv1"", ""block8.conv1"", ""block9.conv1""]","[0.09914901107549667, 0.0315186313043038, 0.017805672871569794, 0.021372684588034947, 0.018597346730530262, 0.012125060272713503, 0.014029825727144877, 0.015826404715577762, 0.0026525337792312107]","{""block1.conv1"": 0.21066781774143298, ""block2.conv1"": 0.27160205547514044, ""block3.conv1"": 0.2839572821055338, ""block4.conv1"": 0.2807434432853859, ""block5.conv1"": 0.28324399255588667, ""block6.conv1"": 0.2890754523678165, ""block7.conv1"": 0.2873592793784004, ""block8.conv1"": 0.28574058121998513, ""block9.conv1"": 0.29761009587041815}","[13, 12, 12, 24, 23, 23, 46, 46, 45]",ok,42,CIFAR10,ResNet20,82.86,86.45,3.5900000000000034,177.98028293874086,3.1341024998710054,2.707004499825416,1.1577751348670215,
E-HRAP,0.4,82.86,23.95,36.82039387244288,34.593997861083324,272474,172148,40813184,26694272,5.335665225982666,"[""block1.conv1"", ""block2.conv1"", ""block3.conv1"", ""block4.conv1"", ""block5.conv1"", ""block6.conv1"", ""block7.conv1"", ""block8.conv1"", ""block9.conv1""]","[0.09233974665403366, 0.031916266307234764, 0.01772798566768567, 0.023398758222659428, 0.01705077849328518, 0.012673287031551203, 0.015413802737991015, 0.01595060930897792, 0.0021655522286891937]","{""block1.conv1"": 0.28691614572736984, ""block2.conv1"": 0.3609137501585713, ""block3.conv1"": 0.37828942551355516, ""block4.conv1"": 0.37134471491539295, ""block5.conv1"": 0.3791187671589163, ""block6.conv1"": 0.3844796612968773, ""block7.conv1"": 0.3811234892257104, ""block8.conv1"": 0.38046608915428165, ""block9.conv1"": 0.39734795684932545}","[12, 11, 10, 21, 20, 20, 40, 40, 39]",ok,42,CIFAR10,ResNet20,82.86,85.77,2.9099999999999966,167.89608556107086,3.1341024998710054,2.57161250056015,1.2187304654913342,
E-HRAP,0.5,82.86,14.39,45.98603903491709,43.44572577331874,272474,147174,40813184,23081600,5.312512159347534,"[""block1.conv1"", ""block2.conv1"", ""block3.conv1"", ""block4.conv1"", ""block5.conv1"", ""block6.conv1"", ""block7.conv1"", ""block8.conv1"", ""block9.conv1""]","[0.07918195426464081, 0.03763599321246147, 0.021653880054752033, 0.021738913531104725, 0.013723259481290976, 0.012295336772998175, 0.015923066064715385, 0.013873361982405186, 0.0025053388283898434]","{""block1.conv1"": 0.37318197061696534, ""block2.conv1"": 0.4397220927747547, ""block3.conv1"": 0.46531908788380916, ""block4.conv1"": 0.4651828980410251, ""block5.conv1"": 0.47802079097072075, ""block6.conv1"": 0.48030775579318213, ""block7.conv1"": 0.47449757487275324, ""block8.conv1"": 0.4777803864041304, ""block9.conv1"": 0.49598744264265926}","[11, 9, 9, 18, 17, 17, 34, 34, 33]",ok,42,CIFAR10,ResNet20,82.86,84.87,2.010000000000005,153.26390678371908,3.1341024998710054,2.663905499957764,1.176506636560755,
Uniform-Magnitude,0.1,83.86,82.11,18.841534391477058,18.492140998582336,9228362,7489597,152769536,124519178,2.275402307510376,"[""features.conv1"", ""features.conv2"", ""features.conv3"", ""features.conv4"", ""features.conv5"", ""features.conv6"", ""features.conv7"", ""features.conv8""]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","{""features.conv1"": 0.1, ""features.conv2"": 0.1, ""features.conv3"": 0.1, ""features.conv4"": 0.1, ""features.conv5"": 0.1, ""features.conv6"": 0.1, ""features.conv7"": 0.1, ""features.conv8"": 0.1}","[58, 116, 231, 231, 461, 461, 461, 461]",ok,42,CIFAR10,VGG11BN,83.86,88.54,4.680000000000007,34.12673228412124,1.3051269997959025,1.3772510001217597,0.9476319129051416,
Uniform-Magnitude,0.2,83.86,76.26,35.83327138662311,35.4822547867135,9228362,5921538,152769536,98563460,2.1976523399353027,"[""features.conv1"", ""features.conv2"", ""features.conv3"", ""features.conv4"", ""features.conv5"", ""features.conv6"", ""features.conv7"", ""features.conv8""]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","{""features.conv1"": 0.2, ""features.conv2"": 0.2, ""features.conv3"": 0.2, ""features.conv4"": 0.2, ""features.conv5"": 0.2, ""features.conv6"": 0.2, ""features.conv7"": 0.2, ""features.conv8"": 0.2}","[52, 103, 205, 205, 410, 410, 410, 410]",ok,42,CIFAR10,VGG11BN,83.86,88.3,4.439999999999998,33.60005808594589,1.3051269997959025,1.439366500108008,0.906737095588905,
Uniform-Magnitude,0.3,83.86,66.53,50.76164112331094,50.437680192993454,9228362,4543894,152769536,75716126,2.3111281394958496,"[""features.conv1"", ""features.conv2"", ""features.conv3"", ""features.conv4"", ""features.conv5"", ""features.conv6"", ""features.conv7"", ""features.conv8""]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","{""features.conv1"": 0.3, ""features.conv2"": 0.3, ""features.conv3"": 0.3, ""features.conv4"": 0.3, ""features.conv5"": 0.3, ""features.conv6"": 0.3, ""features.conv7"": 0.3, ""features.conv8"": 0.3}","[45, 90, 180, 180, 359, 359, 359, 359]",ok,42,CIFAR10,VGG11BN,83.86,88.16,4.299999999999997,42.610915489229505,1.3051269997959025,1.146621500083711,1.1382369855271506,
Uniform-Magnitude,0.4,83.86,48.85,63.776193434977955,63.46672153275375,9228362,3342864,152769536,55811720,2.2336409091949463,"[""features.conv1"", ""features.conv2"", ""features.conv3"", ""features.conv4"", ""features.conv5"", ""features.conv6"", ""features.conv7"", ""features.conv8""]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","{""features.conv1"": 0.4, ""features.conv2"": 0.4, ""features.conv3"": 0.4, ""features.conv4"": 0.4, ""features.conv5"": 0.4, ""features.conv6"": 0.4, ""features.conv7"": 0.4, ""features.conv8"": 0.4}","[39, 77, 154, 154, 308, 308, 308, 308]",ok,42,CIFAR10,VGG11BN,83.86,87.54,3.680000000000007,60.66527008929407,1.3051269997959025,1.2402795000525657,1.0522845856442749,
Uniform-Magnitude,0.5,83.86,27.5,74.96645666912502,74.7095965520246,9228362,2310186,152769536,38636032,2.096961259841919,"[""features.conv1"", ""features.conv2"", ""features.conv3"", ""features.conv4"", ""features.conv5"", ""features.conv6"", ""features.conv7"", ""features.conv8""]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","{""features.conv1"": 0.5, ""features.conv2"": 0.5, ""features.conv3"": 0.5, ""features.conv4"": 0.5, ""features.conv5"": 0.5, ""features.conv6"": 0.5, ""features.conv7"": 0.5, ""features.conv8"": 0.5}","[32, 64, 128, 128, 256, 256, 256, 256]",ok,42,CIFAR10,VGG11BN,83.86,87.57,3.7099999999999937,80.12917065712118,1.3051269997959025,1.2533019998954842,1.0413507677357414,
Adaptive-Magnitude,0.1,83.86,82.14,18.316013177636506,17.25398707763307,9228362,7538094,152769536,126410700,3.796027421951294,"[""features.conv1"", ""features.conv2"", ""features.conv3"", ""features.conv4"", ""features.conv5"", ""features.conv6"", ""features.conv7"", ""features.conv8""]","[0.24343197544415793, 0.038838716223835945, 0.03006771393120289, 0.029103680203358333, 0.015354419747988382, 0.01027272284651796, 0.006855379945288102, 0.009142984015246233]","{""features.conv1"": 0.05551636676906906, ""features.conv2"": 0.09290279264049416, ""features.conv3"": 0.09450556503036306, ""features.conv4"": 0.09468172809478154, ""features.conv5"": 0.09719420435504801, ""features.conv6"": 0.09812281014211982, ""features.conv7"": 0.09874727957743239, ""features.conv8"": 0.09832925339069198}","[61, 117, 232, 232, 463, 462, 462, 462]",ok,42,CIFAR10,VGG11BN,83.86,87.9,4.040000000000006,31.447891766276147,1.3051269997959025,1.3511315000869217,0.9659511303762368,
Adaptive-Magnitude,0.2,83.86,78.86,35.03252256467616,33.32388467815992,9228362,5995434,152769536,101860792,3.6778197288513184,"[""features.conv1"", ""features.conv2"", ""features.conv3"", ""features.conv4"", ""features.conv5"", ""features.conv6"", ""features.conv7"", ""features.conv8""]","[0.2517756124337514, 0.030207908401886623, 0.029388147095839184, 0.029525683571894962, 0.012092047681411108, 0.009572542272508144, 0.006695859134197235, 0.009561596438288689]","{""features.conv1"": 0.10695147604082572, ""features.conv2"": 0.18883608598339094, ""features.conv3"": 0.18913904455348132, ""features.conv4"": 0.18908821530133957, ""features.conv5"": 0.1955311510216451, ""features.conv6"": 0.19646228274301963, ""features.conv7"": 0.19752541636954793, ""features.conv8"": 0.19646632798674987}","[58, 104, 208, 208, 412, 412, 411, 412]",ok,42,CIFAR10,VGG11BN,83.86,87.93,4.070000000000007,25.890228096635642,1.3051269997959025,1.243107499249163,1.04989069777489,
Adaptive-Magnitude,0.3,83.86,70.05,49.64612354825266,47.539224050533214,9228362,4646838,152769536,80144084,4.063223838806152,"[""features.conv1"", ""features.conv2"", ""features.conv3"", ""features.conv4"", ""features.conv5"", ""features.conv6"", ""features.conv7"", ""features.conv8""]","[0.24058752258618674, 0.032894586523373924, 0.028421929106116295, 0.027117076019446056, 0.013642361077169577, 0.01073272122691075, 0.00759295638029774, 0.010102111380547285]","{""features.conv1"": 0.1638518752566264, ""features.conv2"": 0.2813850019268491, ""features.conv3"": 0.28391607217285914, ""features.conv4"": 0.2846544866130848, ""features.conv5"": 0.29227980795611186, ""features.conv6"": 0.2939263688626503, ""features.conv7"": 0.29570315716574436, ""features.conv8"": 0.294283230046074}","[54, 92, 184, 184, 363, 362, 361, 362]",ok,42,CIFAR10,VGG11BN,83.86,88.27,4.409999999999997,36.69974350019775,1.3051269997959025,1.287817500269739,1.0134409569077436,
